C:\Users\26375\Downloads\pytorch_unet-master>python script_train.py --datadir C:\Users\26375\Downloads\DeepLabV3Plus-Pytorch-master\datasets\data\cityscapes --batch_size 16 --num_gpu 1 --losstype segment
Dataset CityscapesDataset
    Number of images: 2975
    Split: train
    Mode: gtFine
    Augment: True
    Root Location: C:\Users\26375\Downloads\DeepLabV3Plus-Pytorch-master\datasets\data\cityscapes

creating unet model...
epoch = 0 | loss = 1.5194364786148071
epoch = 1 | loss = 0.5342696309089661
epoch = 2 | loss = 0.4841800928115845
epoch = 3 | loss = 0.49989446997642517
epoch = 4 | loss = 0.46244218945503235
epoch = 5 | loss = 0.4468013346195221
epoch = 6 | loss = 0.4391768276691437
epoch = 7 | loss = 0.42565903067588806
epoch = 8 | loss = 0.40926510095596313
epoch = 9 | loss = 0.4135786294937134
epoch = 10 | loss = 0.43752390146255493
epoch = 11 | loss = 0.4094700217247009
epoch = 12 | loss = 0.41280728578567505
epoch = 13 | loss = 0.42374560236930847
epoch = 14 | loss = 0.41490474343299866
epoch = 15 | loss = 0.4242301881313324
epoch = 16 | loss = 0.4249119758605957
epoch = 17 | loss = 0.43520310521125793
epoch = 18 | loss = 0.393923819065094
epoch = 19 | loss = 0.41395363211631775
epoch = 20 | loss = 0.4018629193305969
epoch = 21 | loss = 0.4097308814525604
epoch = 22 | loss = 0.39706873893737793
epoch = 23 | loss = 0.41142284870147705
epoch = 24 | loss = 0.4079482853412628
epoch = 25 | loss = 0.3990338444709778
epoch = 26 | loss = 0.385637104511261
epoch = 27 | loss = 0.3909710943698883
epoch = 28 | loss = 0.38865789771080017
epoch = 29 | loss = 0.38217636942863464
epoch = 30 | loss = 0.39255937933921814
epoch = 31 | loss = 0.42264944314956665
epoch = 32 | loss = 0.38140398263931274
epoch = 33 | loss = 0.4008496403694153
epoch = 34 | loss = 0.392365962266922
epoch = 35 | loss = 0.388807475566864
epoch = 36 | loss = 0.38763126730918884
epoch = 37 | loss = 0.3894137740135193
epoch = 38 | loss = 0.40372753143310547
epoch = 39 | loss = 0.41517940163612366
epoch = 40 | loss = 0.3911921977996826
epoch = 41 | loss = 0.3894263505935669
epoch = 42 | loss = 0.3824562430381775
epoch = 43 | loss = 0.39818376302719116
epoch = 44 | loss = 0.3900395631790161
epoch = 45 | loss = 0.3793192505836487
epoch = 46 | loss = 0.4031727910041809
epoch = 47 | loss = 0.39059361815452576
epoch = 48 | loss = 0.37721946835517883
epoch = 49 | loss = 0.3856566548347473
epoch = 50 | loss = 0.3854248523712158
epoch = 51 | loss = 0.3757998049259186
epoch = 52 | loss = 0.37745383381843567
epoch = 53 | loss = 0.3744471073150635
epoch = 54 | loss = 0.39871710538864136
epoch = 55 | loss = 0.3909885585308075
epoch = 56 | loss = 0.3773787021636963
epoch = 57 | loss = 0.3861583173274994
epoch = 58 | loss = 0.3822435736656189
epoch = 59 | loss = 0.3836687505245209
epoch = 60 | loss = 0.3951368033885956
epoch = 61 | loss = 0.38993436098098755
epoch = 62 | loss = 0.381729394197464
epoch = 63 | loss = 0.3748162090778351
epoch = 64 | loss = 0.3805859088897705
epoch = 65 | loss = 0.37565115094184875
epoch = 66 | loss = 0.3724753260612488
epoch = 67 | loss = 0.3671127259731293
epoch = 68 | loss = 0.37242671847343445
epoch = 69 | loss = 0.37243032455444336
epoch = 70 | loss = 0.38877344131469727
epoch = 71 | loss = 0.3854200839996338
epoch = 72 | loss = 0.3820386230945587
epoch = 73 | loss = 0.37492623925209045
epoch = 74 | loss = 0.3888629674911499
epoch = 75 | loss = 0.37747448682785034
epoch = 76 | loss = 0.37730154395103455
epoch = 77 | loss = 0.37439537048339844
epoch = 78 | loss = 0.3822827637195587
epoch = 79 | loss = 0.37563541531562805
epoch = 80 | loss = 0.3753613829612732
epoch = 81 | loss = 0.370741069316864
epoch = 82 | loss = 0.3719659447669983
epoch = 83 | loss = 0.3739832043647766
epoch = 84 | loss = 0.36850860714912415
epoch = 85 | loss = 0.3700140714645386
epoch = 86 | loss = 0.368712455034256
epoch = 87 | loss = 0.3773469030857086
epoch = 88 | loss = 0.3765230178833008
epoch = 89 | loss = 0.3748983144760132
epoch = 90 | loss = 0.37820965051651
epoch = 91 | loss = 0.3694222867488861
epoch = 92 | loss = 0.37256744503974915
epoch = 93 | loss = 0.3749585747718811
epoch = 94 | loss = 0.3757913410663605
epoch = 95 | loss = 0.3669913709163666
epoch = 96 | loss = 0.3680899441242218
epoch = 97 | loss = 0.37393268942832947
epoch = 98 | loss = 0.38325008749961853
epoch = 99 | loss = 0.3888077139854431
